week,rank,title_name,platform_name,developer_name,title_id,platform_id,developer_id,title_url,platform_url,developer_url,genre,weekly_sales,total_sales,week_num
42778,66,Doom,PS4,Bethesda Softworks,83086,69,192,http://www.vgchartz.com/game/83086/doom-2016/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Shooter,Pro,N/A,40
42778,67,FIFA 17,X360,Electronic Arts,117269,7,474,http://www.vgchartz.com/game/117269/fifa-17/,http://www.vgchartz.com/platform/7/xbox-360/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,Pro,N/A,20
42778,68,Killing Floor 2,PS4,Tripwire Interactive,84936,69,1732,http://www.vgchartz.com/game/84936/killing-floor-2/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1732/tripwire-interactive/,Shooter,Pro,N/A,13
42778,69,DiRT Rally,PS4,Codemasters,86260,69,318,http://www.vgchartz.com/game/86260/dirt-rally/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/318/codemasters/,Racing,Pro,N/A,45
42778,70,Mario Party: Star Rush,3DS,Nintendo,120134,42,1167,http://www.vgchartz.com/game/120134/mario-party-star-rush/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Misc,Pro,N/A,15
42778,71,Grand Theft Auto V,X360,Take-Two Interactive,65883,7,1631,http://www.vgchartz.com/game/65883/grand-theft-auto-v/,http://www.vgchartz.com/platform/7/xbox-360/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,Pro,N/A,178
42778,72,Kirby: Planet Robobot,3DS,Nintendo,94687,42,1167,http://www.vgchartz.com/game/94687/kirby-planet-robobot/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Action,Pro,N/A,36
42778,73,World of Final Fantasy,PS4,Square Enix,85673,69,1567,http://www.vgchartz.com/game/85673/world-of-final-fantasy/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1567/square-enix/,Role-Playing,Pro,N/A,16
42778,74,Grand Theft Auto IV,X360,Take-Two Interactive,7103,7,1631,http://www.vgchartz.com/game/7103/grand-theft-auto-iv/,http://www.vgchartz.com/platform/7/xbox-360/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,Pro,N/A,459
42778,75,EA Sports UFC 2,PS4,Electronic Arts,86173,69,474,http://www.vgchartz.com/game/86173/ea-sports-ufc-2/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,Pro,N/A,48
42771,1,Hitman (2016),PS4,Square Enix,84909,69,1567,http://www.vgchartz.com/game/84909/hitman-2016/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1567/square-enix/,Action,"84,031","84,031",1
42771,2,Resident Evil VII: Biohazard,PS4,Capcom,120127,69,270,http://www.vgchartz.com/game/120127/resident-evil-vii-biohazard/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/270/capcom/,Action,"70,397","331,738",2
